;CUST_ID;BALANCE;PURCHASES;ONEOFF_PURCHASES;INSTALLMENTS_PURCHASES;CASH_ADVANCE;CASH_ADVANCE_TRX;PURCHASES_TRX;CREDIT_LIMIT;PAYMENTS;MINIMUM_PAYMENTS;PRC_FULL_PAYMENT;BALANCE;PURCHASES;ONEOFF_PURCHASES;PURCHASES_INSTALLMENTS;CASH_ADVANCE;TENURE
;C17342;27,625906;234,48;0;234,48;0;0;12;2500;109,281131;93,62464;0;0,818182;1;0;1;0;12
;C13053;8791,161142;0;0;0;3706,755143;4;0;12000;2244,627566;2916,278944;0;1;0;0;0;0,333333;12
;C11723;165,808096;981,19;823,39;157,8;0;0;16;9000;672,446893;105,350665;0,25;0,714286;0,714286;0,571429;0,285714;0;7
;C13717;4157,933876;929,2;631,4;297,8;2592,238013;8;12;8000;934,634439;1076,539881;0;1;0,583333;0,333333;0,25;0,583333;12
;C11464;19,945714;170;170;0;0;0;1;6500;734,613034;166,057617;1;0,272727;0,083333;0,083333;0;0;12
;C16639;276,93292;0;0;0;936,59473;2;0;1000;247,914645;152,028346;0;0,454545;0;0;0;0,083333;12
;C12687;210,870503;664,05;664,05;0;0;0;5;7500;728,19268;140,348508;0;1;0,2;0,2;0;0;10
;C11503;63,685705;690,84;0;690,84;0;0;24;2500;676,624615;171,700116;1;1;1;0;1;0;12
;C16869;4487,993384;1654,94;464,5;1190,44;2132,805215;17;51;7500;1570,050378;1443,70769;0;1;1;0,416667;1;0,666667;12
;C18000;91,478145;209,4;0;209,4;0;0;4;2000;431,612195;129,715755;0;0,636364;0,333333;0;0,333333;0;12
;C11862;1527,644591;0;0;0;210,417767;3;0;1700;540,406147;508,668881;0;1;0;0;0;0,166667;12
;C10873;8220,740014;5197,22;4001,41;1195,81;18857,05847;25;15;13000;12886,44123;1287,324868;0,2;1;1;0,571429;0,857143;1;7
;C10254;8,061012;133;0;133;0;0;3;3000;130,61272;41,436595;0,181818;0,363636;0,25;0;0,166667;0;12
;C15717;1727,699797;0;0;0;414,072507;2;0;2000;396,836709;680,410348;0;1;0;0;0;0,181818;11
;C12466;2866,054641;0;0;0;236,955668;4;0;3000;714,738754;799,591816;0;1;0;0;0;0,25;12
;C11012;31,490163;280,35;280,35;0;900,547414;2;3;4000;0;;0;0,636364;0,166667;0,166667;0;0,166667;12
;C12431;516,49276;380;380;0;1004,279993;11;6;1200;415,924157;247,45192;0;1;0,333333;0,333333;0;0,5;12
;C17519;42,288669;313,36;0;313,36;0;0;8;2000;428,089548;189,922028;0,666667;1;0,666667;0;0,666667;0;12
;C13922;2875,669063;0;0;0;740,863461;8;0;3000;729,064946;1821,339762;0;1;0;0;0;0,25;
;C11761;2431,193194;0;0;0;195,932353;1;0;4000;976,859575;685,995885;0;1;0;0;0;0,083333;12
;C12603;1958,649839;1759,46;1759,46;0;3240,789709;16;11;7000;226,879675;415,235431;0;0,857143;0,571429;0,571429;0;0,857143;7
;C14545;;1987,76;1062,44;925,32;0;0;36;6000;753,735014;306,442797;0;1;1;0,5;0,916667;0;12
;C18971;407,399529;0;0;0;1364,307564;2;0;1500;98,494145;228,622281;0;1;0;0;0;0,166667;12
;C12909;1023,124791;1537,93;1093,67;444,26;247,04197;1;25;9000;1070,149971;235,241959;0;1;0,75;0,583333;0,583333;0,083333;12
;C11520;27,694103;474,96;0;474,96;0;0;7;7500;611,396021;81,113509;1;0,444444;0,333333;0;0,222222;0;9
;C15057;3007,664861;534,26;365,51;168,75;0;0;21;16000;3007,94197;807,008705;0;1;0,833333;0,583333;0,75;0;12
;C15653;5604,357612;0;0;0;6067,586592;15;0;6500;1255,546074;1542,906309;0;0,909091;0;0;0;0,727273;11
;C16078;854,166159;567,68;536;31,68;237,518629;5;7;3500;1697,132875;416,006812;0,083333;1;0,25;0,166667;0,083333;0,333333;12
;C14441;907,680311;0;0;0;159,333467;1;0;1200;1368,734996;229,658625;0;1;0;0;0;0,083333;12
;C10390;241,223955;180,91;180,91;0;0;0;6;1400;802,858576;220,455533;0;0,909091;0,166667;0,166667;0;0;12
;C17382;1520,501423;1405,22;828,4;576,82;0;0;26;10500;470,831678;475,78178;0;1;0,833333;0,416667;0,583333;0;12
;C17677;1488,628126;0;0;0;2909,050462;24;0;3000;1968,413322;439,164743;0,090909;1;0;0;0;0,363636;11
;C17283;679,508597;380,1;0;380,1;0;0;5;2500;443,106331;249,318198;0;1;0,416667;0;0,416667;0;12
;C11775;2779,833422;0;0;0;1492,253356;14;0;3000;1708,484919;1285,667565;0;1;0;0;0;0,727273;11
;C14233;8,576818;80;80;0;0;0;1;7500;76,188977;14,667507;0;0,181818;0,083333;0,083333;0;0;12
;C19044;1704,571464;0;0;0;4826,892774;12;0;5000;573,683142;480,409005;0;0,8;0;0;0;0,3;10
;C19185;193,571722;1012,73;1012,73;0;0;0;2;4000;0;;0;0,833333;0,333333;0,333333;0;0;6
;C18570;1551,331695;349,92;0;349,92;0;0;12;1500;321,763599;7433,189695;0;1;1;0;1;0;12
;C12451;2544,036536;0;0;0;107,710567;1;0;7000;1064,575065;587,957563;0;1;0;0;0;0,083333;12
;C16270;398,65758;1331,25;349,47;981,78;647,982323;2;20;6000;343,581118;132,768622;0;1;1;0,333333;0,888889;0,111111;9
;C13469;1299,092905;323,99;323,99;0;10614,20378;19;1;8500;2222,007132;1109,569412;0;1;0,083333;0,083333;0;0,25;12
;C12407;400,69973;3108,01;0;3108,01;0;0;16;10500;3166,91554;175,704497;0,545455;1;1;0;1;0;12
;C13089;2380,291402;1433,2;487,74;945,46;254,450638;3;33;7000;1877,023036;616,430163;0;1;0,666667;0,416667;0,583333;0,166667;12
;C15686;26,982025;237,6;0;237,6;0;0;2;2500;0;;0;0,181818;0,166667;0;0,083333;0;12
;C13113;6995,3025;999,77;0;999,77;6507,113368;16;14;8000;2863,397049;2553,534465;0;1;0,75;0;0,75;0,583333;12
;C16410;1155,9765;0;0;0;1115,92003;2;0;1500;1298,142663;443,370345;0;1;0;0;0;0,166667;12
;C16046;2306,682105;280;280;0;1708,514116;15;3;3000;3344,167438;543,795825;0;1;0,166667;0,166667;0;0,666667;12
;C13207;1384,792038;133,34;0;133,34;0;0;4;2900;1877,881775;547,387346;0;1;0,333333;0;0,333333;0;12
;C11713;2885,068871;0;0;0;255,676579;3;0;3000;712,676699;618,776921;0;1;0;0;0;0,25;12
;C14385;19,548437;266,56;84;182,56;0;0;9;4500;395,242487;199,880942;0,857143;0,727273;0,666667;0,083333;0,583333;0;12
;C12264;203,024867;542,94;0;542,94;0;0;8;4000;955,283993;163,678855;0;0,818182;0,416667;0;0,416667;0;12
;C10765;1439,343061;571,91;571,91;0;0;0;5;2100;2573,55754;756,220978;0;0,909091;0,25;0,25;0;0;12
;C19131;85,936062;492,03;0;492,03;0;0;7;1000;409,433171;96,364159;1;1;1;0;0,857143;0;7
;C10240;279,608696;3034,92;0;3034,92;0;0;12;2900;2928,909865;2733,317012;0,083333;1;1;0;1;0;12
;C11408;2054,372848;833,28;0;833,28;0;0;24;4000;1020,782939;1329,038006;0;1;1;0;1;0;12
;C12160;120,220573;1348,08;230,43;1117,65;0;0;50;12000;1196,209266;183,557875;0,75;1;1;0,583333;1;0;12
;C12537;510,504804;57;57;0;10239,08859;6;1;12500;15043,66508;256,881348;0,142857;0,727273;0,083333;0,083333;0;0,166667;12
;C13066;78,44322;1367,73;0;1367,73;0;0;58;6000;1229,147513;164,423401;1;1;1;0;1;0;12
;C10181;1608,451822;0;0;0;205,737165;2;0;1800;470,565984;408,799147;0;1;0;0;0;0,166667;12
;C13569;127,727053;0;0;0;341,642911;2;0;11000;1489,306631;167,320117;0;1;0;0;0;0,083333;12
;C13837;1128,38317;0;0;0;74,22288;2;0;1200;285,277888;300,062626;0;1;0;0;0;0,166667;12
;C12653;5827,830678;577,98;358,02;219,96;2191,528662;7;13;6000;1771,36501;1842,75662;0;1;1;0,083333;1;0,333333;12
;C14947;1906,703614;780;0;780;0;0;12;3000;1338,303471;598,649198;0;1;1;0;1;0;12
;C13370;13,141343;850,44;150;700,44;0;0;22;1000;766,489028;28,116598;0;0,545455;1;0,083333;1;0;12
;C14581;404,182321;3682,11;2473,8;1208,31;0;0;76;10000;3259,008834;218,502255;0,833333;1;1;1;1;0;12
;C18562;184,007838;526,92;0;526,92;0;0;12;1500;396,991301;180,5486;0,083333;1;1;0;1;0;12
;C17390;2283,366217;2734,77;1645,87;1088,9;4303,863961;23;24;9500;8122,574527;512,099872;0,083333;1;0,833333;0,583333;0,5;0,75;12
;C16277;2507,16412;0;0;0;9577,424422;6;0;7500;3331,674163;706,541509;0,090909;0,818182;0;0;0;0,25;12
;C16487;3191,334524;219,44;177,8;41,64;433,90772;1;6;9000;810,671862;866,819687;0;1;0,416667;0,083333;0,333333;0,083333;12
;C15951;6223,173969;0;0;0;3607,876623;5;0;7500;1373,795303;1450,180855;0;1;0;0;0;0,25;12
;C13508;1326,334307;2484,76;374,18;2110,58;0;0;39;7500;400,178807;367,804459;0;1;1;0,25;1;0;12
;C13515;625,292621;1215,64;1215,64;0;0;0;1;2500;297,914805;525,056459;0;1;0,083333;0,083333;0;0;12
;C11291;1121,833202;2940;750;2190;0;0;13;3500;1279,460209;365,872805;0,3;1;1;0,083333;0,916667;0;12
;C11641;171,616134;4996,17;4726,17;270;0;0;35;4500;4736,750346;86,731068;0,666667;1;0,833333;0,75;0,166667;0;12
;C16920;1647,860393;1510;0;1510;2993,136369;3;11;3500;3927,022653;1464,023513;0,083333;1;0,833333;0;0,833333;0,166667;12
;C13688;63,264922;849,57;0;849,57;0;0;9;4000;886,592905;123,424741;0,636364;0,818182;0,75;0;0,75;0;12
;C18180;341,901741;152,84;152,84;0;1008,117498;9;3;1200;0;;0;0,5;0,333333;0,333333;0;0,333333;6
;C10812;298,592251;1804,09;620,16;1183,93;327,479813;3;27;7500;1672,051219;190,893951;0,181818;1;0,916667;0,916667;0,666667;0,25;12
;C18598;1087,427214;0;0;0;1916,600175;1;0;3000;341,431225;623,084326;0;0,636364;0;0;0;0,083333;12
;C12898;302,142293;3612,24;3340,05;272,19;0;0;35;10500;2866,24778;192,523653;1;1;1;1;0,083333;0;12
;C12937;9,730297;99,24;0;99,24;0;0;8;1000;195,347822;104,212617;0,142857;0,636364;0,583333;0;0,583333;0;12
;C17979;219,885039;1857,17;1367,65;489,52;0;0;16;1800;630,186926;210,086007;0;1;0,75;0,166667;0,583333;0;12
;C15164;1241,565972;3637,75;3396,25;241,5;6419,421654;8;26;7000;8754,779769;407,886506;0,416667;1;0,833333;0,583333;0,5;0,333333;12
;C17911;898,429424;495,7;495,7;0;1526,89916;23;4;1200;1477,267198;859,154662;0;1;0,5;0,5;0;0,625;8
;C16613;226,445662;0;0;0;291,685333;1;0;1500;138,84951;187,570875;0;0,909091;0;0;0;0,083333;12
;C15710;19,928467;310,64;0;310,64;0;0;8;9000;409,454228;175,245981;0,714286;0,727273;0,666667;0;0,583333;0;12
;C13074;212,080181;618;333;285;0;0;7;6000;378,383325;169,341588;0;1;0,5;0,083333;0,333333;0;12
;C14828;4070,500764;710,8;140;570,8;4620,069456;11;16;4900;364,205524;3231,905456;0;0,833333;0,833333;0,166667;0,666667;0,166667;6
;C10395;1077,606225;343,21;343,21;0;1609,900552;8;4;1500;930,328071;3245,693485;0;0,727273;0,25;0,25;0;0,333333;12
;C16672;2732,813233;245,01;245,01;0;2721,303612;3;2;5000;1289,823661;782,936511;0;1;0,166667;0,166667;0;0,25;12
;C17826;3300,406797;459;170;289;3895,391723;13;9;5000;1585,23765;904,654686;0;1;0,666667;0,25;0,416667;0,416667;12
;C11700;5148,625027;0;0;0;4042,791779;16;0;6500;1274,60362;1086,861867;0;1;0;0;0;0,833333;12
