CUST_ID,BALANCE,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,BALANCE.1,PURCHASES.1,ONEOFF_PURCHASES.1,PURCHASES_INSTALLMENTS,CASH_ADVANCE.1,TENURE
C17342,27.625906,234.48,0.0,234.48,0.0,0.0,12,2500.0,109.281131,93.62464,0.0,0.818182,1.0,0.0,1.0,0.0,12.0
C13053,8791.161142,0.0,0.0,0.0,3706.755143,4.0,0,12000.0,2244.627566,2916.278944,0.0,1.0,0.0,0.0,0.0,0.333333,12.0
C11723,165.808096,981.19,823.39,157.8,0.0,0.0,16,9000.0,672.446893,105.350665,0.25,0.714286,0.714286,0.571429,0.285714,0.0,7.0
C13717,4157.933876,929.2,631.4,297.8,2592.238013,8.0,12,8000.0,934.634439,1076.539881,0.0,1.0,0.583333,0.333333,0.25,0.583333,12.0
C11464,19.945714,170.0,170.0,0.0,0.0,0.0,1,6500.0,734.613034,166.057617,1.0,0.272727,0.083333,0.083333,0.0,0.0,12.0
C16639,276.93292,0.0,0.0,0.0,936.59473,2.0,0,1000.0,247.914645,152.028346,0.0,0.454545,0.0,0.0,0.0,0.083333,12.0
C12687,210.870503,664.05,664.05,0.0,0.0,0.0,5,7500.0,728.19268,140.348508,0.0,1.0,0.2,0.2,0.0,0.0,10.0
C11503,63.685705,690.84,0.0,690.84,0.0,0.0,24,2500.0,676.624615,171.700116,1.0,1.0,1.0,0.0,1.0,0.0,12.0
C16869,4487.993384,1654.94,464.5,1190.44,2132.805215,17.0,51,7500.0,1570.050378,1443.70769,0.0,1.0,1.0,0.416667,1.0,0.666667,12.0
C18000,91.478145,209.4,0.0,209.4,0.0,0.0,4,2000.0,431.612195,129.715755,0.0,0.636364,0.333333,0.0,0.333333,0.0,12.0
C11862,1527.644591,0.0,0.0,0.0,210.417767,3.0,0,1700.0,540.406147,508.668881,0.0,1.0,0.0,0.0,0.0,0.166667,12.0
C10873,8220.740014,5197.22,4001.41,1195.81,18857.05847,25.0,15,13000.0,12886.44123,1287.324868,0.2,1.0,1.0,0.571429,0.857143,1.0,7.0
C10254,8.061012,133.0,0.0,133.0,0.0,0.0,3,3000.0,130.61272,41.436595,0.181818,0.363636,0.25,0.0,0.166667,0.0,12.0
C15717,1727.699797,0.0,0.0,0.0,414.072507,2.0,0,2000.0,396.836709,680.410348,0.0,1.0,0.0,0.0,0.0,0.181818,11.0
C12466,2866.054641,0.0,0.0,0.0,236.955668,4.0,0,3000.0,714.738754,799.591816,0.0,1.0,0.0,0.0,0.0,0.25,12.0
C11012,31.490163,280.35,280.35,0.0,900.547414,2.0,3,4000.0,0.0,,0.0,0.636364,0.166667,0.166667,0.0,0.166667,12.0
C12431,516.49276,380.0,380.0,0.0,1004.279993,11.0,6,1200.0,415.924157,247.45192,0.0,1.0,0.333333,0.333333,0.0,0.5,12.0
C17519,42.288669,313.36,0.0,313.36,0.0,0.0,8,2000.0,428.089548,189.922028,0.666667,1.0,0.666667,0.0,0.666667,0.0,12.0
C13922,2875.669063,0.0,0.0,0.0,740.863461,8.0,0,3000.0,729.064946,1821.339762,0.0,1.0,0.0,0.0,0.0,0.25,
C11761,2431.193194,0.0,0.0,0.0,195.932353,1.0,0,4000.0,976.859575,685.995885,0.0,1.0,0.0,0.0,0.0,0.083333,12.0
C12603,1958.649839,1759.46,1759.46,0.0,3240.789709,16.0,11,7000.0,226.879675,415.235431,0.0,0.857143,0.571429,0.571429,0.0,0.857143,7.0
C14545,,1987.76,1062.44,925.32,0.0,0.0,36,6000.0,753.735014,306.442797,0.0,1.0,1.0,0.5,0.916667,0.0,12.0
C18971,407.399529,0.0,0.0,0.0,1364.307564,2.0,0,1500.0,98.494145,228.622281,0.0,1.0,0.0,0.0,0.0,0.166667,12.0
C12909,1023.124791,1537.93,1093.67,444.26,247.04197,1.0,25,9000.0,1070.149971,235.241959,0.0,1.0,0.75,0.583333,0.583333,0.083333,12.0
C11520,27.694103,474.96,0.0,474.96,0.0,0.0,7,7500.0,611.396021,81.113509,1.0,0.444444,0.333333,0.0,0.222222,0.0,9.0
C15057,3007.664861,534.26,365.51,168.75,0.0,0.0,21,16000.0,3007.94197,807.008705,0.0,1.0,0.833333,0.583333,0.75,0.0,12.0
C15653,5604.357612,0.0,0.0,0.0,6067.586592,15.0,0,6500.0,1255.546074,1542.906309,0.0,0.909091,0.0,0.0,0.0,0.727273,11.0
C16078,854.166159,567.68,536.0,31.68,237.518629,5.0,7,3500.0,1697.132875,416.006812,0.083333,1.0,0.25,0.166667,0.083333,0.333333,12.0
C14441,907.680311,0.0,0.0,0.0,159.333467,1.0,0,1200.0,1368.734996,229.658625,0.0,1.0,0.0,0.0,0.0,0.083333,12.0
C10390,241.223955,180.91,180.91,0.0,0.0,0.0,6,1400.0,802.858576,220.455533,0.0,0.909091,0.166667,0.166667,0.0,0.0,12.0
C17382,1520.501423,1405.22,828.4,576.82,0.0,0.0,26,10500.0,470.831678,475.78178,0.0,1.0,0.833333,0.416667,0.583333,0.0,12.0
C17677,1488.628126,0.0,0.0,0.0,2909.050462,24.0,0,3000.0,1968.413322,439.164743,0.090909,1.0,0.0,0.0,0.0,0.363636,11.0
C17283,679.508597,380.1,0.0,380.1,0.0,0.0,5,2500.0,443.106331,249.318198,0.0,1.0,0.416667,0.0,0.416667,0.0,12.0
C11775,2779.833422,0.0,0.0,0.0,1492.253356,14.0,0,3000.0,1708.484919,1285.667565,0.0,1.0,0.0,0.0,0.0,0.727273,11.0
C14233,8.576818,80.0,80.0,0.0,0.0,0.0,1,7500.0,76.188977,14.667507,0.0,0.181818,0.083333,0.083333,0.0,0.0,12.0
C19044,1704.571464,0.0,0.0,0.0,4826.892774,12.0,0,5000.0,573.683142,480.409005,0.0,0.8,0.0,0.0,0.0,0.3,10.0
